RCC	Antibio	Well	Concentration	1	2	3	4	5	6	7
RCC 96	G 418	 A01	0.5	35888	17043	3853	593	225	675	591
RCC 96	G 418	 A02	0.5	27281	20952	337	450	84	394	562
RCC 96	G 418	 A03	0.5	29952	19630	34846	3853	21318	19996	31639
RCC 96	G 418	 B01	1	33018	17268	6468	337	478	394	253
RCC 96	G 418	 B02	1	26662	20530	34902	675	22555	8268	14062
RCC 96	G 418	 B03	1	24946	19040	49011	4725	21599	26746	277217
RCC 96	G 418	 C01	1.5	30965	17915	6159	225	1041	1603	19827
RCC 96	G 418	 C02	1.5	21712	18590	70308	337	18224	5006	40077
RCC 96	G 418	 C03	1.5	24102	18899	169	4500	112	197	394
RCC 96	G 418	 D01	2	28237	16565	24102	394	18421	15806	14681
RCC 96	G 418	 D02	2	16087	15693	91692	703	37377	3572	3684
RCC 96	G 418	 D03	2	21852	17352	112	3965	169	309	281
RCC 96	Paromomycin	 E01	0.2	37295	23624	26690	2109	10856	25255	17718
RCC 96	Paromomycin	 E02	0.2	23315	26859	4865	3487	84	197	478
RCC 96	Paromomycin	 E03	0.2	29249	23343	197	5597	141	112	506
RCC 96	Paromomycin	 F01	0.5	33018	21430	37737	787	16087	15946	288981
RCC 96	Paromomycin	 F02	0.5	16762	20840	7172	1069	225	225	225
RCC 96	Paromomycin	 F03	0.5	25931	22021	50596	4725	36449	6131	23174
RCC 96	Paromomycin	 G01	0.8	26015	17381	394	591	225	281	534
RCC 96	Paromomycin	 G02	0.8	16115	18084	8381	1209	4556	3544	13443
RCC 96	Paromomycin	 G03	0.8	17465	16987	80218	2615	18084	8100	58921
RCC 96	Paromomycin	 H01	1	34284	18224	112	394	225	450	337
RCC 96	Paromomycin	 H02	1	24018	18140	41061	1097	39655	19968	17549
RCC 96	Paromomycin	 H03	1	27618	17999	72366	1322	21796	4584	5681
RCC 97	G 418	 A04	0.5	32380	28293	5878	36773	56	253	534
RCC 97	G 418	 A05	0.5	19715	17128	112	11671	169	169	281
RCC 97	G 418	 A06	0.5	21909	21487	46275	24384	12431	15777	14202
RCC 97	G 418	 B04	1	27843	31612	7565	53463	141	309	366
RCC 97	G 418	 B05	1	16621	18421	55237	27252	25846	10546	27646
RCC 97	G 418	 B06	1	21993	27224	38502	25115	23933	12431	269062
RCC 97	G 418	 C04	1.5	23934	32512	8015	37320	1434	4865	19265
RCC 97	G 418	 C05	1.5	25452	31330	75607	31471	19602	8156	86906
RCC 97	G 418	 C06	1.5	24356	31387	169	20305	197	366	562
RCC 97	G 418	 D04	2	25902	30065	56425	32708	23737	24889	18674
RCC 97	G 418	 D05	2	13303	21796	80050	30824	25171	6918	4894
RCC 97	G 418	 D06	2	19968	26662	169	25396	197	337	253
RCC 97	Paromomycin	 E04	0.2	30349	26938	37630	21824	11474	9759	13246
RCC 97	Paromomycin	 E05	0.2	16003	19687	5034	33811	112	141	759
RCC 97	Paromomycin	 E06	0.2	19378	24130	225	12403	197	253	253
RCC 97	Paromomycin	 F04	0.5	27815	31049	49489	28377	16705	22696	279698
RCC 97	Paromomycin	 F05	0.5	12993	20109	6581	27871	225	562	253
RCC 97	Paromomycin	 F06	0.5	16959	34826	70869	33439	34480	10800	54505
RCC 97	Paromomycin	 G04	0.8	20221	27112	112	25368	197	197	1153
RCC 97	Paromomycin	 G05	0.8	10237	17943	7537	26718	2025	2194	18533
RCC 97	Paromomycin	 G06	0.8	17156	23905	91829	29417	31246	16959	55799
RCC 97	Paromomycin	 H04	1	24412	24355	84	13246	141	198	422
RCC 97	Paromomycin	 H05	1	8409	23765	38502	31442	18252	21571	15327
RCC 97	Paromomycin	 H06	1	12965	18815	69580	25199	20221	5906	9421
RCC 969	G 418	 A07	0.5	84	337	7987	197	787	309	394
RCC 969	G 418	 A08	0.5	225	281	169	84	169	141	450
RCC 969	G 418	 A09	0.5	112	225	34086	112	11221	23961	10153
RCC 969	G 418	 B07	1	169	253	13696	84	619	675	225
RCC 969	G 418	 B08	1	281	225	85809	253	30036	14456	68116
RCC 969	G 418	 B09	1	337	394	42833	197	20896	12515	215556
RCC 969	G 418	 C07	1.5	141	197	8578	253	1125	1547	13078
RCC 969	G 418	 C08	1.5	450	197	73250	169	27280	12824	88169
RCC 969	G 418	 C09	1.5	450	169	112	225	337	253	366
RCC 969	G 418	 D07	2	253	141	14878	84	20587	8718	6018
RCC 969	G 418	 D08	2	56	197	61205	309	14231	12937	9084
RCC 969	G 418	 D09	2	253	225	0	197	112	197	197
RCC 969	Paromomycin	 E07	0.2	56	309	8606	84	12740	13162	10631
RCC 969	Paromomycin	 E08	0.2	169	197	7762	112	84	253	281
RCC 969	Paromomycin	 E09	0.2	309	309	112	197	56	169	309
RCC 969	Paromomycin	 F07	0.5	253	169	16481	84	17802	7903	255750
RCC 969	Paromomycin	 F08	0.5	169	141	11418	197	112	197	112
RCC 969	Paromomycin	 F09	0.5	253	84	57119	169	12571	18899	17690
RCC 969	Paromomycin	 G07	0.8	225	309	0	225	56	225	591
RCC 969	Paromomycin	 G08	0.8	281	281	10940	394	1575	1350	11671
RCC 969	Paromomycin	 G09	0.8	478	253	70478	281	37630	9112	32737
RCC 969	Paromomycin	 H07	1	84	253	84	112	112	281	253
RCC 969	Paromomycin	 H08	1	197	84	39599	253	21290	8915	12515
RCC 969	Paromomycin	 H09	1	225	366	65772	197	42355	3290	4134
RCC 4094	G 418	 A10	0.5	135444	49672	5569	55404	141	253	450
RCC 4094	G 418	 A11	0.5	224675	107970	197	50145	281	309	478
RCC 4094	G 418	 A12	0.5	205568	144897	6497	21037	25761	10856	9478
RCC 4094	G 418	 B10	1	142473	75358	8634	79113	197	281	197
RCC 4094	G 418	 B11	1	206375	110408	58989	55545	39936	5062	18590
RCC 4094	G 418	 B12	1	190829	107655	20587	65613	22021	13246	0
RCC 4094	G 418	 C10	1.5	147299	70922	6497	68342	1378	703	10828
RCC 4094	G 418	 C11	1.5	207892	111930	64747	45139	31021	7847	46096
RCC 4094	G 418	 C12	1.5	205051	118185	112	45392	225	141	394
RCC 4094	G 418	 D10	2	140547	68347	33974	73741	29924	16509	9675
RCC 4094	G 418	 D11	2	204281	117245	63903	42692	35014	2531	3853
RCC 4094	G 418	 D12	2	210224	104455	169	45955	112	169	562
RCC 4094	Paromomycin	 E10	0.2	133804	94119	19096	47510	15187	31808	9000
RCC 4094	Paromomycin	 E11	0.2	177667	109318	5343	29080	141	253	141
RCC 4094	Paromomycin	 E12	0.2	187682	116501	169	10575	703	225	478
RCC 4094	Paromomycin	 F10	0.5	140147	68866	27027	38389	10209	15834	219209
RCC 4094	Paromomycin	 F11	0.5	207026	114549	7087	29699	141	225	281
RCC 4094	Paromomycin	 F12	0.5	221320	109691	62879	34480	55854	4219	26605
RCC 4094	Paromomycin	 G10	0.8	164766	75865	169	66851	141	422	366
RCC 4094	Paromomycin	 G11	0.8	230565	92525	6187	28321	422	506	1294
RCC 4094	Paromomycin	 G12	0.8	206296	108239	65546	31049	16762	9421	44211
RCC 4094	Paromomycin	 H10	1	162734	75305	112	28461	141	281	450
RCC 4094	Paromomycin	 H11	1	201164	98168	15243	48626	24383	7031	4415
RCC 4094	Paromomycin	 H12	1	189758	108114	64402	43198	25339	4950	4500
