Otu	X43	X200	X1000
Otu001	22431	35722	35708
Otu002	6742	15580	7110
Otu003	80	178776	11094
Otu004	974	140225	18769
Otu005	130	72184	3519
Otu006	189	18284	1606
Otu007	77	18740	5656
Otu008	96	10763	441
Otu009	17	33	31
Otu010	35656	20542	13731
Otu011	745	26550	9010
Otu012	33	2764	3460
Otu013	1189	16848	7526
Otu014	930	1391	11131
Otu015	62	15403	11683
Otu016	43	11642	1498
Otu017	46	69	324
Otu018	102	11928	2664
Otu019	116	9477	363
Otu020	3570	1977	210
Otu021	33	16539	5640
Otu022	49	2280	103
Otu023	172	28860	4437
Otu024	48	17119	7336
Otu025	90	11823	2107
Otu026	13595	6792	4248
Otu027	7	13	8
Otu028	9	3	5
Otu029	35	2227	2469
Otu030	455	14167	56901
Otu031	75	6677	7323
Otu032	154	294	108
Otu033	23	5962	1843
Otu034	25	5451	2986
Otu035	16453	4665	1893
Otu036	641	2585	636
Otu037	546	561	3183
Otu038	3	5	6
Otu039	29	2470	213
Otu040	11	139	610
Otu041	14	3402	2713
Otu042	714	495	1670
Otu043	37	11709	12360
Otu044	112	13038	1306
Otu045	6	10	7
Otu046	27	6526	318
Otu047	6	3	2
Otu048	7	597	869
Otu049	4	9	1389
Otu050	115	3792	1702
Otu051	4	3	5
Otu052	2	5	3
Otu053	2854	11896	7482
Otu054	1	2	1
Otu055	12692	2141	794
Otu056	532	563	86
Otu057	4	6	3
Otu058	63	6945	452
Otu059	4	1283	648
Otu060	2062	324	84
Otu061	1	1	2
Otu062	4	5	3
Otu063	13	1272	123
Otu064	7	80	485
Otu065	8	335	582
Otu066	189	2347	832
Otu067	8	663	147
Otu068	12	1101	147
Otu069	3	4	2
Otu070	0	1614	49
Otu071	6	1362	44
Otu072	56554	2822	980
Otu073	3	130	2151
Otu074	8	237	504
Otu075	333	437	533
Otu076	3653	881	241
Otu077	4	6	0
Otu078	8	67	170
Otu079	5	4	4
Otu080	88	17571	21142
Otu081	2	59	31
Otu082	37820	2292	1495
Otu083	4	450	17
Otu084	4	433	77
Otu085	4	5	62
Otu086	32	1878	3912
Otu087	9	475	551
Otu088	42	1011	743
Otu089	126	2111	515
Otu090	38	3782	6606
Otu091	9	729	167
Otu092	45	1763	2129
Otu093	0	2813	240
Otu094	2	2	1
Otu095	52	1015	1910
Otu096	2	435	155
Otu097	1	1	2
Otu098	60	7162	1285
Otu099	5	39	189
Otu100	1	20	255
Otu101	9	957	686
Otu102	4	291	50
Otu103	37	1011	117
Otu104	3	1329	53
Otu105	2	0	0
Otu106	9	4275	4125
Otu107	1	2	0
Otu108	7	22	79
Otu109	4312	4259	136495
Otu110	15	80	944
Otu111	1	3	0
Otu112	12	3245	1124
Otu113	12	1033	2454
Otu114	2	218	2119
Otu115	4	628	165
Otu116	4	129	11
Otu117	3	0	2
Otu118	0	1	0
Otu119	5	286	14
Otu120	3	896	623
Otu121	3	1	1
Otu122	22	1263	7992
Otu123	222	1555	13429
Otu124	1	140	44
Otu125	7	658	454
Otu126	84	11882	8903
Otu127	1	4	1
Otu128	5	182	1226
