Otu	Kingdom	Phylum	Class	Order	Family	Genus	Species
Otu001	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	Unclassified	Unclassified
Otu002	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Unclassified	Unclassified
Otu003	Bacteria	SAR406	AB16	Arctic96B-7	A714017	Unclassified	Unclassified
Otu004	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Unclassified	Unclassified
Otu005	Bacteria	SAR406	AB16	Arctic96B-7	Sc-NB04	Unclassified	Unclassified
Otu006	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ZA3409c	Unclassified	Unclassified
Otu007	Bacteria	SAR406	AB16	Arctic96B-7	Sc-NB04	Unclassified	Unclassified
Otu008	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ZA3409c	Unclassified	Unclassified
Otu009	Bacteria	Planctomycetes	[Brocadiae]	Brocadiales	Brocadiaceae	Candidatus Scalindua	Unclassified
Otu010	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	Unclassified	Unclassified
Otu011	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0853	SAR324	Unclassified	Unclassified
Otu012	Bacteria	SAR406	AB16	Arctic96B-7	A714017	SargSea-WGS	Unclassified
Otu013	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	Unclassified	Unclassified
Otu014	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	Unclassified	Unclassified
Otu015	Bacteria	SAR406	AB16	ZA3648c	AEGEAN_185	Unclassified	Unclassified
Otu016	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Unclassified	Unclassified
Otu017	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unclassified	Unclassified
Otu018	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina	Unclassified
Otu019	Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	Unclassified	Unclassified
Otu020	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0853	Unclassified	Unclassified	Unclassified
Otu021	Bacteria	SAR406	AB16	Arctic96B-7	A714017	SGSH944	Unclassified
Otu022	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ZA3409c	Unclassified	Unclassified
Otu023	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Unclassified
Otu024	Bacteria	SAR406	AB16	ZA3648c	AEGEAN_185	Unclassified	Unclassified
Otu025	Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	Unclassified	Unclassified
Otu026	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	Unclassified	Unclassified
Otu027	Bacteria	Planctomycetes	[Brocadiae]	Brocadiales	Brocadiaceae	Candidatus Scalindua	Unclassified
Otu028	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfosarcina	Unclassified
Otu029	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unclassified	Unclassified
Otu030	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0853	SAR324	Unclassified	Unclassified
Otu031	Bacteria	Verrucomicrobia	[Pedosphaerae]	Arctic97B-4	Unclassified	Unclassified	Unclassified
Otu032	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified
